PAGE NUMBER,ENTITY NAME,POSITION,LABEL
1,LONDON,39-45,GPE
1,10,54-56,CARDINAL
2,I. Certification of Volume,0-26,ORG
4,fig Zao,33-40,PERSON
4,Pan a Ly 4 7,54-66,ORG
4,Ove,83-86,PERSON
4,4 7,109-112,DATE
5,LIBRARY,0-7,PERSON
5,The Virginia Company of London,37-67,ORG
5,CONGRESS,124-132,ORG
5,"A. M., Ph",208-217,PERSON
5,ECONOMICS,250-259,PERSON
5,"A. M., Ph",312-321,PERSON
5,1906,434-438,DATE
6,L. C. card,0-10,PERSON
6,6,12-13,CARDINAL
7,1904,22-26,DATE
7,Library,78-85,PERSON
7,Washington,293-303,GPE
7,American,443-451,NORP
7,the Records of the Virginia Company,512-547,ORG
7,Kingsbury,820-829,PERSON
7,Preface,884-891,ORG
7,Osgood,905-911,PERSON
7,one,1006-1009,CARDINAL
7,Osgood,1048-1054,PERSON
7,the Public Archives Commission,1068-1098,ORG
7,the American Historical Association,1102-1137,ORG
7,one,1172-1175,CARDINAL
7,Association,1205-1216,ORG
7,Library,1287-1294,PERSON
7,Kingsbury,1380-1389,PERSON
7,Columbia,1436-1444,ORG
7,1,1529-1530,CARDINAL
7,2,1578-1579,CARDINAL
7,3,1696-1697,CARDINAL
7,Notes,1739-1744,PRODUCT
7,4,1776-1777,CARDINAL
7,the Division of Manuscripts,1907-1934,ORG
7,Minnie V. Stinson,1974-1991,PERSON
7,Division,2000-2008,ORG
7,HERBERT Putnam Librarian,2010-2034,PERSON
7,Congress Worraincton Chauncey,2038-2067,ORG
7,Ford,2068-2072,ORG
7,Division of Manuscripts,2080-2103,ORG
8,the Virginia Company of London,56-86,ORG
8,the United States,194-211,GPE
8,first,431-436,ORDINAL
8,England,556-563,GPE
8,James,773-778,PERSON
8,England,838-845,GPE
8,Coke,963-967,ORG
8,Eliot,972-977,PRODUCT
8,Hampden,982-989,ORG
8,Bacon,994-999,GPE
8,Wentworth,1004-1013,LOC
8,Buckingham,1018-1028,GPE
8,Ferrars,1058-1065,ORG
8,first,1114-1119,ORDINAL
8,Stuart,1138-1144,PERSON
8,Gilbert,1329-1336,PERSON
8,Raleigh,1341-1348,ORG
8,England,1374-1381,GPE
8,Atlantic,1393-1401,LOC
8,Elizabethan,1476-1487,LOC
8,Spain,1526-1531,GPE
8,the days,1536-1544,DATE
8,English,1599-1606,LANGUAGE
8,Virginia,1706-1714,GPE
8,Plymouth,1719-1727,GPE
8,the Records of the Virginia Company,1887-1922,ORG
8,The Court Book,2244-2258,ORG
8,English,2340-2347,NORP
8,Elizabethan,2391-2402,LOC
8,Shakespeare,2434-2445,PERSON
8,Bacon,2450-2455,ORG
8,5,2710-2711,CARDINAL
9,6,0-1,CARDINAL
9,Kingsbury,71-80,PERSON
9,Ferrar,100-106,NORP
9,Nicholas Ferrar,182-197,PERSON
9,the Court Book to,397-414,ORG
9,Virginia,415-423,GPE
9,Thomas Jefferson’s,491-509,PERSON
9,Congress,560-568,ORG
9,1858,863-867,DATE
9,J. Wingate Thornton,872-891,PERSON
9,the “Historical Magazine,910-934,ORG
9,the Court Book,961-975,ORG
9,English,1186-1193,NORP
9,America,1219-1226,GPE
9,two centuries,1276-1289,DATE
9,Atlantic,1313-1321,LOC
9,Providence,1330-1340,GPE
9,National Congress,1383-1400,ORG
9,Thornton,1503-1511,PERSON
9,Boston,1536-1542,GPE
9,the Civil War,1654-1667,EVENT
9,1868,1784-1788,DATE
9,three years,1790-1801,DATE
9,Edward D. Neill,1834-1849,PERSON
9,Congress,1874-1882,ORG
9,Terra Mariae,2018-2030,WORK_OF_ART
9,two,2192-2195,CARDINAL
9,Neill,2336-2341,PERSON
9,History of the Virginia Company of London,2433-2474,WORK_OF_ART
9,Albany,2477-2483,GPE
9,1869,2485-2489,DATE
9,"March, 1877",2495-2506,DATE
9,Robert A. Brock,2512-2527,PERSON
9,the Virginia Historical Society,2532-2563,ORG
9,Plea for the Publication of the Records of the Virginia Company,2611-2674,WORK_OF_ART
9,1881,2680-2684,DATE
9,John W. Johnston,2693-2709,PERSON
9,Virginia,2714-2722,GPE
9,Congress,2740-2748,ORG
9,Senate,2838-2844,ORG
9,House,2864-2869,ORG
9,three,2878-2883,CARDINAL
9,between the years 1885,2904-2926,DATE
9,1888,2931-2935,DATE
9,J. Franklin Jameson,2940-2959,PERSON
9,the Library Committee of Congress,2971-3004,ORG
10,Congress,50-58,ORG
10,Jameson,96-103,PERSON
10,the Rhode Island Historical Society,154-189,ORG
10,"the ""Magazine of American History",223-256,ORG
10,"21, January-June, 1889",264-286,DATE
10,82,291-293,CARDINAL
10,the Court Book,365-379,ORG
10,Conway Robinson,385-400,PERSON
10,second,501-507,ORDINAL
10,the Virginia Historical Society,529-560,ORG
10,1889,574-578,DATE
10,R. A. Brock,608-619,PERSON
10,two,661-664,CARDINAL
10,the Virginia Company of London,1042-1072,ORG
10,American,1137-1145,NORP
10,the Court Book,2700-2714,ORG
10,the List of Records,2796-2815,ORG
10,Kingsbury,3121-3130,ORG
10,"Herbert L. Osgood  
",3176-3196,PERSON
11,Comparison,62-72,ORG
11,Comparison,110-120,ORG
11,"the Virginia Records

II",168-192,ORG
11,1606,295-299,DATE
11,1606 to 1609,325-337,DATE
11,I. Fundamental,378-392,ORG
11,Argall’s,536-544,ORG
11,1616-1624,716-725,DATE
11,The Jefferson Library,760-781,WORK_OF_ART
11,Congress,800-808,ORG
11,Jefferson,855-864,PERSON
11,"the Virginia Records
Randolph",984-1013,ORG
11,"the Virginia Historical Society
Jefferson",1040-1081,ORG
11,England,1122-1129,GPE
11,"the Library of Congress
Documents",1151-1184,ORG
11,Richmond,1188-1196,GPE
11,"the New York Public Library
Collections of Americana",1212-1264,ORG
11,John Carter Brown Library,1265-1290,PERSON
11,New York Public Library,1292-1315,ORG
11,"Harvard Library
",1317-1333,PERSON
11,"the New York Public Library
Collections",1356-1395,ORG
11,England,1399-1406,GPE
11,Magdalene College,1422-1439,PERSON
11,Cambridge,1441-1450,GPE
11,England,1501-1508,GPE
11,King’s,1665-1671,ORG
11,Origin,1678-1684,PERSON
11,England,1714-1721,GPE
11,"The Privy Council Office
Collections",1722-1758,ORG
11,England,1762-1769,GPE
11,"British Museum

Page",1770-1790,ORG
11,14,1803-1805,DATE
11,41,1809-1811,DATE
11,48,1812-1814,DATE
11,59 61,1815-1820,DATE
12,10,0-2,CARDINAL
12,Rewards Record,221-235,PERSON
12,the Library of Congress,378-401,WORK_OF_ART
12,the Crown Conclusion—Value,836-862,ORG
12,the Virginia Records,866-886,ORG
12,the Privy Council,1128-1145,ORG
12,"May 22, 1623",1179-1191,DATE
12,the Privy Council,1218-1235,ORG
12,"May 22-November 1, 1623",1237-1260,DATE
12,Retention,1329-1338,PERSON
12,the Privy Council,1342-1359,ORG
12,"1625, 1631",1394-1404,DATE
12,1634,1410-1414,DATE
12,Dissipation,1416-1427,GPE
12,VOLUME II,1667-1676,EVENT
12,"April 28, 1619",1678-1692,DATE
12,"May 8, 1622",1697-1708,DATE
12,54,1819-1821,CARDINAL
12,MS,1850-1852,GPE
12,FIRST,1875-1880,ORDINAL
12,the Summer Islands’ Courts,1943-1969,EVENT
12,THIRD,2015-2020,ORDINAL
12,214,2057-2060,CARDINAL
12,74,2101-2103,DATE
12,87,2110-2112,DATE
12,108,2121-2124,CARDINAL
12,115,2129-2132,CARDINAL
12,215,2141-2144,CARDINAL
12,280,2152-2155,CARDINAL
13,1,0-1,CARDINAL
13,"The Character of the Company

",3-33,WORK_OF_ART
13,the past quarter century,192-216,DATE
13,1606,261-265,DATE
13,Virginia,307-315,GPE
13,the West Indies,415-430,ORG
13,Spanish,443-450,NORP
13,Francis Drake,521-534,PERSON
13,John,596-600,PERSON
13,Sebastian Cabot,605-620,PERSON
13,Cathay,648-654,ORG
13,the East Indies,659-674,ORG
13,1498,678-682,DATE
13,Humphrey Gilbert,692-708,PERSON
13,Walter Raleigh,717-731,PERSON
13,a century later,732-747,DATE
13,Florida,792-799,GPE
13,Newfoundland,803-815,GPE
13,John Smith,885-895,PERSON
13,Henry Spelman,900-913,PERSON
13,Indians,955-962,NORP
13,America,966-973,GPE
13,England,1050-1057,GPE
13,the Virginia Company,1063-1083,ORG
13,Crown,1330-1335,ORG
13,two,1357-1360,CARDINAL
13,the first three years,1385-1406,DATE
13,Company,1801-1808,ORG
13,1624,1812-1816,DATE
13,the end of the century,1831-1853,DATE
13,royal colonies,1859-1873,ORG
13,America,1938-1945,GPE
13,second,1954-1960,ORDINAL
13,the sixteenth century,2170-2191,DATE
13,King,2303-2307,PERSON
14,12,0-2,CARDINAL
14,Crown,60-65,ORG
14,Richard Warde,156-169,PERSON
14,Thomas Ashehurst,171-187,PERSON
14,1501,207-211,DATE
14,Humphrey Gilbert,220-236,PERSON
14,1578,240-244,DATE
14,Walter Raleigh,257-271,PERSON
14,1584,275-279,DATE
14,Crown,285-290,ORG
14,1606,385-389,DATE
14,1609,441-445,DATE
14,Greenwich,524-533,GPE
14,Kent,551-555,PERSON
14,first,567-572,ORDINAL
14,Virginia,573-581,GPE
14,second,661-667,ORDINAL
14,one-fifth,904-913,CARDINAL
14,a per cent,1057-1067,MONEY
14,Warde,1123-1128,ORG
14,Gilbert,1130-1137,PERSON
14,Raleigh,1143-1150,ORG
14,two hundred,1214-1225,CARDINAL
14,1606,1265-1269,DATE
14,the sixteenth century,1435-1456,DATE
14,King,1487-1491,LOC
14,1606,1517-1521,DATE
14,1609,1562-1566,DATE
14,Baltimore,1738-1747,PERSON
14,William Penn,1754-1766,PERSON
14,the Virginia Company,1834-1854,ORG
14,1609,1949-1953,DATE
14,early years,1989-2000,DATE
14,Kingdom,2101-2108,GPE
14,Crown,2141-2146,ORG
14,Elizabeth,2613-2622,PERSON
14,Cabot,2893-2898,PERSON
14,Appendix,2900-2908,PERSON
14,pp,2910-2912,GPE
14,312,2914-2917,CARDINAL
14,314,2919-2922,CARDINAL
14,Principal Navigations,2968-2989,PERSON
14,VIII,2991-2995,ORG
14,17,2997-2999,CARDINAL
14,289,3004-3007,CARDINAL
14,Osgood,3030-3036,PERSON
14,H. L.,3038-3043,PERSON
14,The American Colonies,3045-3066,ORG
14,the 17th Century,3070-3086,DATE
14,83,3091-3093,DATE
15,13,25-27,CARDINAL
15,the Merchant Adventurers,132-156,WORK_OF_ART
15,1407,160-164,DATE
15,1462,169-173,DATE
15,one,196-199,CARDINAL
15,1564,203-207,DATE
15,"a ""Body Politick",240-256,PRODUCT
15,Trade of the,489-501,ORG
15,Merchants Adventurers,507-528,PERSON
15,the East India Company,590-612,ORG
15,only four years,874-889,DATE
15,1612,1120-1124,DATE
