PAGE NUMBER,ENTITY NAME,POSITION,LABEL,suspicious
4,Ove,83-86,PERSON,TRUE
15,sec,2711-2714,ORG,TRUE
19,100,615-618,MONEY,TRUE
21,SIR,6-9,ORG,TRUE
21,50 miles,43-51,QUANTITY,TRUE
21,100 miles,121-130,QUANTITY,TRUE
22,160 miles,1875-1884,QUANTITY,TRUE
23,Chs,2639-2642,PERSON,TRUE
23,Nos,2759-2762,PERSON,TRUE
26,Nos,2325-2328,PERSON,TRUE
26,Nos,2569-2572,PERSON,TRUE
27,Com,1841-1844,PRODUCT,TRUE
27,Nos,2307-2310,PERSON,TRUE
29,Nos,2855-2858,PERSON,TRUE
30,Nos,2230-2233,PERSON,TRUE
32,600,1566-1569,MONEY,TRUE
32,Nos,2456-2459,PERSON,TRUE
32,757,2671-2674,PRODUCT,TRUE
32,Nos,2721-2724,PERSON,TRUE
33,Nos,2378-2381,PERSON,TRUE
37,Nos,2662-2665,PERSON,TRUE
38,Nos,2464-2467,PERSON,TRUE
38,Nos,2552-2555,PERSON,TRUE
38,747,2989-2992,PRODUCT,TRUE
38,747,2998-3001,PRODUCT,TRUE
39,657,1133-1136,MONEY,TRUE
39,Nos,2712-2715,PERSON,TRUE
39,Nos,2759-2762,PERSON,TRUE
43,li & the Command of 50,2247-2269,ORG,TRUE
44,Nos,2028-2031,PERSON,TRUE
45,Geo,365-368,PRODUCT,TRUE
46,25 pounds,2053-2062,QUANTITY,TRUE
48,Geo,32-35,PERSON,TRUE
50,Nos,2378-2381,PERSON,TRUE
51,18%,1088-1091,PERCENT,TRUE
52,100 acres,1000-1009,QUANTITY,TRUE
57,14th,1838-1842,ORDINAL,TRUE
62,Geo,1362-1365,PERSON,TRUE
62,Edw,1399-1402,PERSON,TRUE
63,Geo,63-66,PERSON,TRUE
64,Newce 200 li,992-1004,PERSON,TRUE
65,3 d the pound,2050-2063,TIME,TRUE
70,Peire 2,1123-1130,PERSON,TRUE
72,Adventures 145:—49:—0,921-942,ORG,TRUE
72,Porcion of land & 100ᵗʰ,1723-1746,ORG,TRUE
73,Edw,1296-1299,PERSON,TRUE
74,1000 pounds,1349-1360,QUANTITY,TRUE
77,hon,224-227,ORG,TRUE
77,Lye,1011-1014,PERSON,TRUE
77,MOE,1342-1345,ORG,TRUE
80,Geo,1529-1532,PERSON,TRUE
81,Geo,680-683,PERSON,TRUE
82,C’.,2214-2217,ORG,TRUE
84,Ann,498-501,PERSON,TRUE
